titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Apartamento en alquiler en Sector 3,"Sector 3, Urb Santa Cruz, Provincia de Lima, Provincia de Lima ",Urb Santa Cruz,Otro,1400.0,11.666666666666666,Alto,Apartamento,Alquiler,3,2,120.0,Grande,,,S/.480,Isotta Lima Space,16 mar. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-f8ce-92dc956c6c7f-998fb3c8-849a-429b
Apartamento en alquiler en Ur. La Encantada,"Ur. La Encantada, Chorrillos, Lima, Lima ",Chorrillos,Sur,700.0,10.0,Moderado,Apartamento,Alquiler,2,2,70.0,Mediano,10.0,2016,,HABITALE BIENES RAICES,12 mar. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-c124-219a0c9f65f9-65612a70-80f5-120d
Casa en alquiler en Chorrillos,"Chorrillos, Lima, Lima ",Lima,Otro,1500.0,5.0,Alto,Casa,Alquiler,4,3,300.0,Muy Grande,18.0,2008,S/.100,HABITALE BIENES RAICES,8 mar. 2023 - Publicado por HABITALE BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-2701-8bf41ef7ca67-31b6f77e-a5e5-4b75
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",Lima,Otro,1200.0,7.5,Alto,Apartamento,Alquiler,3,2,160.0,Grande,21.0,2005,,RE/MAX Principal pe,Hace 22 horas - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-c786-71a3c2c8981d-78ecb3d-9017-4e0f
Apartamento en alquiler en Urb los Patricios,"Urb los Patricios, Provincia de Lima, Municipalidad Metropolitana de Lima ",Provincia de Lima,Otro,750.0,6.818181818181818,Moderado,Apartamento,Alquiler,3,2,110.0,Grande,,,S/.350,Tasso Inmobiliaria,7 set. 2021 - Publicado por Tasso Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-e8f2-98b3113213ea-e23f945f-8ef1-4653
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",Lima,Otro,1200.0,8.571428571428571,Alto,Apartamento,Alquiler,3,2,140.0,Grande,21.0,2005,,RE/MAX Principal pe,"Hace 3 días, 22 horas - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-738-76e177df3cdd-bcc72e08-9b9e-4210
Oficina en alquiler en Ag. Angamos,"Ag. Angamos, Jesús María, Lima, Lima ",Jesús María,Otro,10000.0,10000.0,Lujo,Oficina,Alquiler,5,3,1.0,Pequeño,70.0,1956,, Yvonne Marie Claire Larrieu  Bellido ,17 feb. 2023 - Publicado por  Yvonne Marie Claire Larrieu  Bellido ,https://www.properati.com.pe/detalle/14032-32-efd7-24af11066613-8676ee62-b1d6-352f
Casa en alquiler en Ur. La Chacrita,"Ur. La Chacrita, Cayma, Arequipa, Arequipa ",Cayma,Otro,1000.0,3.5335689045936394,Alto,Casa,Alquiler,3,4,283.0,Muy Grande,,,,Casafacil-Aqp,Hace 1 día - Publicado por Casafacil-Aqp,https://www.properati.com.pe/detalle/14032-32-de18-833f50f07203-d2d5aca0-9f09-120d
Apartamento en alquiler en Ur. Risso,"Ur. Risso, San Isidro, Lima, Lima ",San Isidro,Centro,700.0,13.20754716981132,Moderado,Apartamento,Alquiler,1,1,53.0,Mediano,,,S/.200,Inmoba Peru SAC,9 dic. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-ff26-f74353bf1430-96944880-9d1e-42cd
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,550.0,8.208955223880597,Moderado,Apartamento,Alquiler,2,1,67.0,Mediano,8.0,2018,S/.180,Inmoba Peru SAC,16 feb. 2023 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-c5a2-ded6f74dff7-1ad4ac11-a46b-4a80
