titulo,ubicacion,distrito,zona,precio,precio_m2,precio_categoria,tipo_inmueble,tipo_operacion,dormitorios,banos,area,tamano_categoria,antiguedad,anio_construccion,mantenimiento,publicador,fecha_publicacion,url
Apartamento en alquiler en Urb Cercado de Miraflores,"Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",Provincia de Lima,Otro,1200.0,6.0,Alto,Apartamento,Alquiler,4,3,200.0,Muy Grande,,,S/.600,Fiorella Saldarriaga,18 ago. 2022 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-3659-cdabd5a73b16-aa1645e4-b6be-42d4
Apartamento en alquiler en Ur. San Borja,"Ur. San Borja, San Borja, Lima, Lima ",San Borja,Otro,2500.0,9.615384615384615,Lujo,Apartamento,Alquiler,4,4,260.0,Muy Grande,11.0,2015,S/.600,Midori Kishimoto,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-d913-94ae49df9d8a-30b10197-8a9b-498f
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",San Isidro,Centro,2600.0,12.871287128712872,Lujo,Apartamento,Alquiler,3,3,202.0,Muy Grande,8.0,2018,S/.650,Midori Kishimoto,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-5fba-1ed6e7cb31f5-4c9a32a1-9c51-4215
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ",San Isidro,Centro,1300.0,12.5,Alto,Apartamento,Alquiler,1,2,104.0,Grande,8.0,2018,S/.350,Midori Kishimoto,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-5a3c-28ce484939ca-5053660d-a709-4fce
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1200.0,7.5,Alto,Apartamento,Alquiler,3,2,160.0,Grande,29.0,1997,S/.540,Midori Kishimoto,"Hace 1 semana, 2 días - Publicado por Midori Kishimoto",https://www.properati.com.pe/detalle/14032-32-986b-c268aadca15b-8b54110b-8645-44b0
Casa en alquiler en San Borja,"San Borja, Lima, Lima ",Lima,Otro,2400.0,7.973421926910299,Lujo,Casa,Alquiler,4,3,301.0,Muy Grande,38.0,1988,,INMOGA S.A.C,23 ene. 2023 - Publicado por INMOGA S.A.C,https://www.properati.com.pe/detalle/14032-32-9dd0-ba9e04e28cb4-c6c644b8-ab9b-4f45
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1200.0,8.0,Alto,Apartamento,Alquiler,2,4,150.0,Grande,26.0,2000,S/.650,TU HOGAR Y BIENESTAR,"Hace 3 semanas, 13 horas - Publicado por TU HOGAR Y BIENESTAR",https://www.properati.com.pe/detalle/14032-32-6d1a-4f2a631e9425-ebd247d9-bbc3-408a
Apartamento en alquiler en Ur. El Rosal,"Ur. El Rosal, Miraflores, Lima, Lima ",Miraflores,Centro,1000.0,9.433962264150944,Alto,Apartamento,Alquiler,2,3,106.0,Grande,10.0,2016,S/.495,GARRIDO SECLEN RICARDY BUENAVENTURA,3 feb. 2023 - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA,https://www.properati.com.pe/detalle/14032-32-a40b-8be85815d288-986a51c0-9e22-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1600.0,11.11111111111111,Alto,Apartamento,Alquiler,3,2,144.0,Grande,44.0,1982,,Inmoba Peru SAC,14 oct. 2022 - Publicado por Inmoba Peru SAC,https://www.properati.com.pe/detalle/14032-32-509d-191e0ca9c86f-83438c79-bc63-4ffc
Casa en alquiler en Ur. Javier Prado (Cahuache),"Ur. Javier Prado (Cahuache), San Borja, Lima, Lima ",San Borja,Otro,1700.0,8.5,Alto,Casa,Alquiler,9,9,200.0,Muy Grande,14.0,2012,,RE/MAX Expo,1 mar. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-195a-5e02d83a21b-989fca48-9fa2-47d9
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,950.0,7.983193277310924,Moderado,Apartamento,Alquiler,3,2,119.0,Grande,14.0,2012,S/.370,Alinea Inmobiliaria,"Hace 2 semanas, 1 día - Publicado por Alinea Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-155-c4a4df80c6f7-c9633850-a6ef-4800
Casa en alquiler en San Bartolo,"San Bartolo, Lima, Lima ",Lima,Otro,1100.0,6.111111111111111,Alto,Casa,Alquiler,3,3,180.0,Grande,6.0,2020,S/.200,Viva en el Campo,"Hace 1 semana, 5 días - Publicado por Viva en el Campo",https://www.properati.com.pe/detalle/14032-32-d4c3-9fea81837217-a51de150-99e7-120d
Apartamento en alquiler en Ur. San Antonio,"Ur. San Antonio, Miraflores, Lima, Lima ",Miraflores,Centro,1400.0,6.666666666666667,Alto,Apartamento,Alquiler,3,4,210.0,Muy Grande,11.0,2015,S/.650,Lien Hub Inmobiliario,19 nov. 2022 - Publicado por Lien Hub Inmobiliario,https://www.properati.com.pe/detalle/14032-32-1c87-391426fddf66-e9c9d2ce-af70-4c3e
Apartamento en alquiler en Surco,"Surco, Santiago De Surco, Lima, Lima ",Santiago De Surco,Este,1250.0,8.333333333333334,Alto,Apartamento,Alquiler,3,3,150.0,Grande,16.0,2010,S/.600,Century 21 Horizonte,10 ene. 2023 - Publicado por Century 21 Horizonte,https://www.properati.com.pe/detalle/14032-32-fc6f-65a3aade433-608d0dca-8d68-4482
Apartamento en alquiler en Zona 7-B,"Zona 7-B, Urb San Borja, Provincia de Lima, Provincia de Lima ",Urb San Borja,Otro,790.0,5.266666666666667,Moderado,Apartamento,Alquiler,3,3,150.0,Grande,,,S/.290,BERTTOLÍ SERVICIOS INMOBILIARIOS,16 set. 2022 - Publicado por BERTTOLÍ SERVICIOS INMOBILIARIOS,https://www.properati.com.pe/detalle/14032-32-85b4-a0b1767245a2-14132992-b702-3cec
Casa en alquiler en Piura,"Piura, Piura, Piura ",Piura,Otro,1200.0,4.0,Alto,Casa,Alquiler,4,4,300.0,Muy Grande,16.0,2010,,Luis Joya Inmobiliaria,"Hace 1 semana, 6 días - Publicado por Luis Joya Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-d450-ad2e898148c8-ff87ec30-812a-120d
Apartamento en alquiler en Ur. Tambo De Monterrico,"Ur. Tambo De Monterrico, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,750.0,9.74025974025974,Moderado,Apartamento,Alquiler,1,1,77.0,Mediano,16.0,2010,,Auryn Corp,24 feb. 2023 - Publicado por Auryn Corp,https://www.properati.com.pe/detalle/14032-32-641a-fba22f787c53-69bad766-baf1-3c3f
Apartamento en alquiler en Santiago de Surco,"Santiago de Surco, Lima, Lima ",Lima,Otro,650.0,3.9393939393939394,Moderado,Apartamento,Alquiler,3,3,165.0,Grande,16.0,2010,S/.800,MARIA DEL ROSARIO - BIENES RAICES,14 dic. 2022 - Publicado por MARIA DEL ROSARIO - BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-58e8-8cc1e1f50e9d-d125f49d-bb7b-408f
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,950.0,9.5,Moderado,Apartamento,Alquiler,3,3,100.0,Grande,16.0,2010,S/.400,MARIA DEL ROSARIO - BIENES RAICES,10 ene. 2023 - Publicado por MARIA DEL ROSARIO - BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-f196-96855865fc61-4020a42-bfab-4e6a
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,950.0,6.785714285714286,Moderado,Apartamento,Alquiler,1,2,140.0,Grande,16.0,2010,,MARIA DEL ROSARIO - BIENES RAICES,7 feb. 2023 - Publicado por MARIA DEL ROSARIO - BIENES RAICES,https://www.properati.com.pe/detalle/14032-32-731-5f35de0e2628-80c49181-bf59-4340
Apartamento en alquiler en Ur. Miramar,"Ur. Miramar, San Miguel, Lima, Lima ",San Miguel,Oeste,1000.0,8.0,Alto,Apartamento,Alquiler,3,3,125.0,Grande,7.0,2019,S/.450,Marcia Rodriguez,10 feb. 2023 - Publicado por Marcia Rodriguez,https://www.properati.com.pe/detalle/14032-32-b3f7-675b2c763b9c-54315af8-bbf7-4a61
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",Barranco,Sur,700.0,17.073170731707318,Moderado,Apartamento,Alquiler,1,1,41.0,Pequeño,3.0,2023,S/.200,RE/MAX PRO,"Hace 1 semana, 6 días - Publicado por RE/MAX PRO",https://www.properati.com.pe/detalle/14032-32-3a25-cef39a06585d-9fa08e1-b59b-4c01
Apartamento en alquiler en Petit Jean Ocharán,"Petit Jean Ocharán, Urb Cercado de Miraflores, Provincia de Lima, Provincia de Lima ",Urb Cercado de Miraflores,Otro,700.0,11.666666666666666,Moderado,Apartamento,Alquiler,1,2,60.0,Mediano,,,S/.280,Isotta Lima Space,25 mar. 2022 - Publicado por Isotta Lima Space,https://www.properati.com.pe/detalle/14032-32-62f1-a3c63539229c-b372b85e-be6e-417c
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,930.0,7.153846153846154,Moderado,Apartamento,Alquiler,2,3,130.0,Grande,8.0,2018,S/.530,Corretaje Pelusa,11 feb. 2023 - Publicado por Corretaje Pelusa,https://www.properati.com.pe/detalle/14032-32-e72e-2607a9c3e82e-4d9ce001-ab48-441c
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",Lima,Otro,1300.0,8.441558441558442,Alto,Apartamento,Alquiler,2,2,154.0,Grande,11.0,2015,S/.680,Pilar Zunjic,11 feb. 2023 - Publicado por Pilar Zunjic,https://www.properati.com.pe/detalle/14032-32-2a7f-9bc5c87ff5fe-e01662f0-b74a-4715
Apartamento en alquiler en Lurigancho,"Lurigancho, Lima, Lima ",Lima,Otro,370.0,4.352941176470588,Económico,Apartamento,Alquiler,3,2,85.0,Mediano,,,,Remax Diamond,"Hace 2 semanas, 5 días - Publicado por Remax Diamond",https://www.properati.com.pe/detalle/14032-32-d3cf-8f9aff4ff713-4601f7bf-a69a-4508
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,900.0,5.0,Moderado,Apartamento,Alquiler,2,3,180.0,Grande,36.0,1990,S/.400,DOMUS REAL ESTATE ,"Hace 2 semanas, 1 día - Publicado por DOMUS REAL ESTATE ",https://www.properati.com.pe/detalle/14032-32-21a-266fd34a1a6b-988b1322-b798-47a5
Apartamento en alquiler en Ur. Chacarilla Santa Cruz,"Ur. Chacarilla Santa Cruz, San Isidro, Lima, Lima ",San Isidro,Centro,790.0,12.53968253968254,Moderado,Apartamento,Alquiler,2,3,63.0,Mediano,16.0,2010,S/.210,REMAX UNITED,27 mar. 2023 - Publicado por REMAX UNITED,https://www.properati.com.pe/detalle/14032-32-d538-7ac0f7c8d12e-6c09cebd-bd50-42ee
Apartamento en alquiler en Ur. Tambo De Monterrico,"Ur. Tambo De Monterrico, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,800.0,11.11111111111111,Moderado,Apartamento,Alquiler,2,2,72.0,Mediano,13.0,2013,S/.260,RE/MAX POWER EXPO,17 mar. 2023 - Publicado por RE/MAX POWER EXPO,https://www.properati.com.pe/detalle/14032-32-56fa-ce620b302ade-f87722fc-8f54-43a3
Apartamento en alquiler en El Bosque,"El Bosque, Cayma, Arequipa, Arequipa ",Cayma,Otro,1600.0,6.4,Alto,Apartamento,Alquiler,3,5,250.0,Muy Grande,,,,Casafacil-Aqp,"Hace 2 semanas, 22 horas - Publicado por Casafacil-Aqp",https://www.properati.com.pe/detalle/14032-32-d329-9720269d9d1b-c44647c0-a480-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,2500.0,12.5,Lujo,Apartamento,Alquiler,3,4,200.0,Muy Grande,6.0,2020,S/.600,Josh Vega,22 feb. 2023 - Publicado por Josh Vega,https://www.properati.com.pe/detalle/14032-32-b2f7-d3c31cf124d9-5b16b160-9cde-120d
Apartamento en alquiler en Ur. Aurora,"Ur. Aurora, Miraflores, Lima, Lima ",Miraflores,Centro,1200.0,8.0,Alto,Apartamento,Alquiler,3,2,150.0,Grande,9.0,2017,S/.670,RE/MAX Expo,8 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-57c0-c9eb6ea28ffc-f9ab3854-8274-4b26
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,2000.0,11.428571428571429,Lujo,Apartamento,Alquiler,3,2,175.0,Grande,22.0,2004,S/.840,Inmobiliaria Casella,7 mar. 2023 - Publicado por Inmobiliaria Casella,https://www.properati.com.pe/detalle/14032-32-2bc6-fc3f3e5d3608-c891cf7e-be22-46fd
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1000.0,9.433962264150944,Alto,Apartamento,Alquiler,2,3,106.0,Grande,16.0,2010,S/.575,Doris Peñaranda,"Hace 2 semanas, 2 días - Publicado por Doris Peñaranda",https://www.properati.com.pe/detalle/14032-32-d24c-577331d3d019-5765b10-b702-120d
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",San Isidro,Centro,1250.0,8.333333333333334,Alto,Apartamento,Alquiler,3,2,150.0,Grande,36.0,1990,S/.650,Büro Propiedades,6 feb. 2023 - Publicado por Büro Propiedades,https://www.properati.com.pe/detalle/14032-32-139c-2a2d5f092748-cab56c2-83db-4448
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ",San Borja,Otro,1150.0,8.273381294964029,Alto,Apartamento,Alquiler,3,3,139.0,Grande,4.0,2022,S/.500,Tasso Inmobiliaria,25 mar. 2023 - Publicado por Tasso Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-de63-da2e8f822c52-c0aa7dd-9b21-4493
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ",San Borja,Otro,1150.0,1150.0,Alto,Apartamento,Alquiler,3,3,1.0,Pequeño,,139 m²,,  Moises Fernando  Torres  Tasso ,23 mar. 2023 - Publicado por   Moises Fernando  Torres  Tasso ,https://www.properati.com.pe/detalle/14032-32-4f9-e8eb1f5c9c4-aba00348-b4b9-3427
Apartamento en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ",San Miguel,Oeste,470.0,10.444444444444445,Económico,Apartamento,Alquiler,2,1,45.0,Pequeño,3.0,2023,,Dominio Inmobiliaria,"Hace 2 semanas, 1 día - Publicado por Dominio Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-ee91-335980a8e24-1fca9418-b493-4451
Apartamento en alquiler en Ur. San Ignacio,"Ur. San Ignacio, Barranco, Lima, Lima ",Barranco,Sur,770.0,17.11111111111111,Moderado,Apartamento,Alquiler,1,1,45.0,Pequeño,4.0,2022,,Dominio Inmobiliaria,"Hace 2 semanas, 1 día - Publicado por Dominio Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-8a56-2a3ee9d4f543-1623684-a8aa-483b
Apartamento en alquiler en Ur. San Luis,"Ur. San Luis, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,11.643835616438356,Moderado,Apartamento,Alquiler,2,1,73.0,Mediano,3.0,2023,,Dominio Inmobiliaria,"Hace 2 semanas, 1 día - Publicado por Dominio Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-c793-fafebc9ce007-364d074d-bfb2-4771
Apartamento en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,2500.0,15.822784810126583,Lujo,Apartamento,Alquiler,3,2,158.0,Grande,12.0,2014,"S/.1,000",Verónica Arosemena,"Hace 2 semanas, 5 días - Publicado por Verónica Arosemena",https://www.properati.com.pe/detalle/14032-32-1379-8cc36064c339-c803db59-afd9-4d66
Apartamento en alquiler en Urb Residencial Valle Hermoso,"Urb Residencial Valle Hermoso, Provincia de Lima, Municipalidad Metropolitana de Lima ",Provincia de Lima,Otro,1000.0,5.714285714285714,Alto,Apartamento,Alquiler,3,4,175.0,Grande,,,S/.300,Fiorella Saldarriaga,17 feb. 2021 - Publicado por Fiorella Saldarriaga,https://www.properati.com.pe/detalle/14032-32-af28-75ef1c134d6a-a212bb75-ab02-482b
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ",San Isidro,Centro,1300.0,8.441558441558442,Alto,Apartamento,Alquiler,2,3,154.0,Grande,8.0,2018,S/.680,Home Inmobiliaria,"Hace 2 semanas, 1 día - Publicado por Home Inmobiliaria",https://www.properati.com.pe/detalle/14032-32-7f93-9f3fa2423513-b796518b-9c2e-4f57
Casa de playa en alquiler en Punta Hermosa,"Punta Hermosa, Lima, Lima ",Lima,Otro,1000.0,7.936507936507937,Alto,Casa de playa,Alquiler,3,3,126.0,Grande,6.0,2020,S/.450,Gonzalez Cecilia,12 dic. 2022 - Publicado por Gonzalez Cecilia,https://www.properati.com.pe/detalle/14032-32-474c-15f2b335e3af-cf7e02f0-84bf-43bf
Apartamento en alquiler en Hu. Ex Fundo Monterrico Chico Parcela 2 (San Idelfonso Del Vivero),"Hu. Ex Fundo Monterrico Chico Parcela 2 (San Idelfonso Del Vivero), Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,1200.0,8.108108108108109,Alto,Apartamento,Alquiler,3,3,148.0,Grande,14.0,2012,S/.455,Corretajes Inmobiliarios Matessa SAC,15 mar. 2023 - Publicado por Corretajes Inmobiliarios Matessa SAC,https://www.properati.com.pe/detalle/14032-32-d458-f5b9c85f260a-797bd2c7-a879-4f48
Apartamento en alquiler en Miraflores,"Miraflores, Lima, Lima ",Lima,Otro,700.0,12.962962962962964,Moderado,Apartamento,Alquiler,1,1,54.0,Mediano,7.0,2019,S/.370,GARRIDO SECLEN RICARDY BUENAVENTURA,"Hace 2 semanas, 1 día - Publicado por GARRIDO SECLEN RICARDY BUENAVENTURA",https://www.properati.com.pe/detalle/14032-32-d295-c18bd8bc6275-ebcbc520-951d-120d
Apartamento en alquiler en Hu. Ex Fundo Monterrico Chico Parcela 2 (San Idelfonso Del Vivero),"Hu. Ex Fundo Monterrico Chico Parcela 2 (San Idelfonso Del Vivero), Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,1200.0,8.0,Alto,Apartamento,Alquiler,3,2,150.0,Grande,16.0,2010,S/.450,SUCASA GRUPO INMOBILIARIO,16 mar. 2023 - Publicado por SUCASA GRUPO INMOBILIARIO,https://www.properati.com.pe/detalle/14032-32-1952-58223c36a5cc-852c91d5-a1a1-46e3
Apartamento en alquiler en San Isidro,"San Isidro, Lima, Lima ",Lima,Otro,1100.0,8.661417322834646,Alto,Apartamento,Alquiler,2,3,127.0,Grande,8.0,2018,S/.300,Proyectum  Perú,"Hace 2 semanas, 4 días - Publicado por Proyectum  Perú",https://www.properati.com.pe/detalle/14032-32-ad4b-7e53f1ac5b00-b00abff-8829-40b4
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,850.0,4.473684210526316,Moderado,Apartamento,Alquiler,3,2,190.0,Grande,,,S/.250,Proyectum  Perú,22 mar. 2023 - Publicado por Proyectum  Perú,https://www.properati.com.pe/detalle/14032-32-c44b-815467a519b3-785d63be-8457-40ce
Apartamento en alquiler en Ur. America,"Ur. America, Miraflores, Lima, Lima ",Miraflores,Centro,1600.0,15.384615384615385,Alto,Apartamento,Alquiler,2,3,104.0,Grande,21.0,2005,S/.635,Dora Merlo Paz Soldán,"Hace 3 semanas, 16 horas - Publicado por Dora Merlo Paz Soldán",https://www.properati.com.pe/detalle/14032-32-cdde-691d178457ed-57fb2310-8768-120d
Casa en alquiler en San Martín de Porres,"San Martín de Porres, Lima, Lima ",Lima,Otro,3400.0,7.311827956989247,Lujo,Casa,Alquiler,8,8,465.0,Muy Grande,,,,REMAX FENIX,16 ene. 2023 - Publicado por REMAX FENIX,https://www.properati.com.pe/detalle/14032-32-da3a-b792384f7649-b778adf0-a3e1-4c1e
Apartamento en alquiler en Ur. Corpac,"Ur. Corpac, San Isidro, Lima, Lima ",San Isidro,Centro,750.0,5.597014925373134,Moderado,Apartamento,Alquiler,3,2,134.0,Grande,26.0,2000,S/.100,JUAN LIBORIO CORREA LUNA,"Hace 2 semanas, 1 día - Publicado por JUAN LIBORIO CORREA LUNA",https://www.properati.com.pe/detalle/14032-32-4849-32aa1e4190c7-32bda875-9ab9-4e4b
Apartamento en alquiler en Ur. Arboleda De Maranga,"Ur. Arboleda De Maranga, San Miguel, Lima, Lima ",San Miguel,Oeste,479.0,479.0,Económico,Apartamento,Alquiler,3,3,1.0,Pequeño,,104 m²,, Ivan  Santa Cruz Maza ,17 mar. 2023 - Publicado por  Ivan  Santa Cruz Maza ,https://www.properati.com.pe/detalle/14032-32-a76a-3d01fc1df23d-2ee6e1a0-a8a9-3b9d
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,650.0,15.476190476190476,Moderado,Apartamento,Alquiler,1,1,42.0,Pequeño,9.0,2017,,RE/MAX PRO,"Hace 2 semanas, 1 día - Publicado por RE/MAX PRO",https://www.properati.com.pe/detalle/14032-32-b843-af9eb64aaff0-fe810b82-8c8c-4c81
Casa en alquiler en Ur. El Palomar,"Ur. El Palomar, San Isidro, Lima, Lima ",San Isidro,Centro,2600.0,7.407407407407407,Lujo,Casa,Alquiler,4,5,351.0,Muy Grande,68.0,1958,,IMMOBILIARE,Hace 3 semanas - Publicado por IMMOBILIARE,https://www.properati.com.pe/detalle/14032-32-9430-c786f9b5843e-f3a8a0b8-bab0-48b7
Apartamento en alquiler en Ur. A. Cabrejos Falla,"Ur. A. Cabrejos Falla, Chiclayo, Chiclayo, Lambayeque ",Chiclayo,Otro,1000.0,6.896551724137931,Alto,Apartamento,Alquiler,3,4,145.0,Grande,,,S/.500,Lula Botey Inmobiliaria,16 mar. 2023 - Publicado por Lula Botey Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-cfee-b53ef7ca2ebc-a94c34be-8f8b-4818
Apartamento en alquiler en Ur. San Isidro,"Ur. San Isidro, San Isidro, Lima, Lima ",San Isidro,Centro,620.0,12.653061224489797,Moderado,Apartamento,Alquiler,1,1,49.0,Pequeño,28.0,1998,S/.350,Corretaje Pelusa,22 feb. 2023 - Publicado por Corretaje Pelusa,https://www.properati.com.pe/detalle/14032-32-d888-54606aac676f-72bdbc14-80f1-4b15
Casa en alquiler en San Isidro,"San Isidro, Lima, Lima ",Lima,Otro,1900.0,6.109324758842444,Alto,Casa,Alquiler,3,3,311.0,Muy Grande,,,,Faure Cruz,16 feb. 2023 - Publicado por Faure Cruz,https://www.properati.com.pe/detalle/14032-32-68d0-384e2e5eb19e-33b6ee76-8387-4057
Apartamento en alquiler en Ur. La Viñita,"Ur. La Viñita, Barranco, Lima, Lima ",Barranco,Sur,650.0,12.745098039215685,Moderado,Apartamento,Alquiler,1,1,51.0,Mediano,4.0,2022,S/.260,RE/MAX Expo,2 feb. 2023 - Publicado por RE/MAX Expo,https://www.properati.com.pe/detalle/14032-32-3a64-1e7b4763a5e9-bd8c307f-9378-4956
Apartamento en alquiler en Magdalena del Mar,"Magdalena del Mar, Lima, Lima ",Lima,Otro,980.0,7.777777777777778,Moderado,Apartamento,Alquiler,3,2,126.0,Grande,12.0,2014,S/.300,joresco real estate,"Hace 2 semanas, 3 días - Publicado por joresco real estate",https://www.properati.com.pe/detalle/14032-32-d11f-d79deca05055-5c3e0660-b6d7-120d
Habitación en alquiler en Castilla,"Castilla, Piura, Piura ",Piura,Otro,115.0,14.375,Económico,Habitación,Alquiler,3,2,8.0,Pequeño,10.0,2016,, Christhian Alonso Panta Farfán ,24 feb. 2023 - Publicado por  Christhian Alonso Panta Farfán ,https://www.properati.com.pe/detalle/14032-32-1b97-9bc10beb93e2-909b7758-a27e-31af
Apartamento en alquiler en Hu. Cercado De Miraflores,"Hu. Cercado De Miraflores, Miraflores, Lima, Lima ",Miraflores,Centro,730.0,6.239316239316239,Moderado,Apartamento,Alquiler,2,3,117.0,Grande,21.0,2005,S/.280,RE/MAX POWER EXPO,"Hace 2 semanas, 3 días - Publicado por RE/MAX POWER EXPO",https://www.properati.com.pe/detalle/14032-32-482c-61d40690ab70-372523ee-bcc3-42de
Apartamento en alquiler en Miraflores,"Miraflores, Arequipa, Arequipa ",Arequipa,Otro,1300.0,6.842105263157895,Alto,Apartamento,Alquiler,3,3,190.0,Grande,11.0,2015,S/.300,RUIZ BAGLIETTO TERESA ENRIQUETA,8 ene. 2023 - Publicado por RUIZ BAGLIETTO TERESA ENRIQUETA,https://www.properati.com.pe/detalle/14032-32-964f-d43312e9a836-7810266-be93-4e8b
Apartamento en alquiler en Ur. Barboncito,"Ur. Barboncito, Miraflores, Lima, Lima ",Miraflores,Centro,790.0,12.153846153846153,Moderado,Apartamento,Alquiler,2,2,65.0,Mediano,13.0,2013,S/.240,Oscar Leandro Peña Villanueva,27 mar. 2023 - Publicado por Oscar Leandro Peña Villanueva,https://www.properati.com.pe/detalle/14032-32-da0a-e81c3582dd8c-108951d9-87b8-4123
Casa en alquiler en Ur. El Cortijo Etapa I,"Ur. El Cortijo Etapa I, Santiago de Surco, Lima, Lima ",Santiago de Surco,Este,2500.0,6.944444444444445,Lujo,Casa,Alquiler,5,7,360.0,Muy Grande,11.0,2015,"S/.1,000",Milagros Garibaldi,20 mar. 2023 - Publicado por Milagros Garibaldi,https://www.properati.com.pe/detalle/14032-32-e39a-710893f34df5-331267f8-831b-4e5c
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,700.0,7.777777777777778,Moderado,Apartamento,Alquiler,2,2,90.0,Mediano,13.0,2013,S/.1,Luis Joya Inmobiliaria,26 mar. 2023 - Publicado por Luis Joya Inmobiliaria,https://www.properati.com.pe/detalle/14032-32-cc07-818aa7b9af2c-55dcc8f0-a622-120d
Apartamento en alquiler en Ur. Balta,"Ur. Balta, Miraflores, Lima, Lima ",Miraflores,Centro,1250.0,7.8125,Alto,Apartamento,Alquiler,3,4,160.0,Grande,,,,RE/MAX Principal pe,"Hace 2 semanas, 4 días - Publicado por RE/MAX Principal pe",https://www.properati.com.pe/detalle/14032-32-9427-47a008ff101e-85e541a9-8ff4-3e7b
Casa en alquiler en Ur. Santa Cruz,"Ur. Santa Cruz, Miraflores, Lima, Lima ",Miraflores,Centro,1300.0,5.909090909090909,Alto,Casa,Alquiler,4,3,220.0,Muy Grande,46.0,1980,S/.100,Corretajes Inmobiliarios Matessa SAC,25 ene. 2023 - Publicado por Corretajes Inmobiliarios Matessa SAC,https://www.properati.com.pe/detalle/14032-32-9c4d-bf30d76558ca-81c9abfc-a229-4eaf
Apartamento en alquiler en Ur. Jardin,"Ur. Jardin, San Isidro, Lima, Lima ",San Isidro,Centro,1000.0,13.88888888888889,Alto,Apartamento,Alquiler,2,2,72.0,Mediano,5.0,2021,S/.250,RE/MAX Principal pe,22 feb. 2023 - Publicado por RE/MAX Principal pe,https://www.properati.com.pe/detalle/14032-32-6433-61314a5b0d9a-f851fa3e-aaf6-4d4f
